name,lat2,lon3,population,mmi,iscapital
Napa,38.29714,-122.28553,76915,8.09,0
Yountville,38.40158,-122.36081,2933,6.93,0
American Canyon,38.17492,-122.2608,19454,6.84,0
El Verano,38.29769,-122.49165,4123,6.36,0
Sonoma,38.29186,-122.45804,10648,6.35,0
Temelec,38.26658,-122.49276,1441,6.19,0
Boyes Hot Springs,38.3138,-122.48193,6656,6.06,0
Vallejo,38.10409,-122.25664,115942,6.05,0
Fetters Hot Springs-Agua Caliente,38.3214,-122.48682,4144,6.04,0
Eldridge,38.3488,-122.51082,1233,5.9,0
Benicia,38.04936,-122.15858,26997,5.81,0
Crockett,38.05242,-122.21302,3094,5.48,0
Green Valley,38.25297,-122.16219,1625,5.45,0
Rodeo,38.03298,-122.26691,8679,5.32,0
Saint Helena,38.50519,-122.47026,5814,5.28,0
Hercules,38.01714,-122.28858,24060,5.22,0
Kenwood,38.4138,-122.54609,1028,5.02,0
Pinole,38.00437,-122.29886,18390,4.94,0
Martinez,38.01937,-122.13413,35824,4.92,0
Suisun,38.23825,-122.04024,28111,4.86,0
Penngrove,38.29964,-122.66665,2522,4.78,0
Fairfield,38.24936,-122.03997,105321,4.76,0
Deer Park,38.53269,-122.4697,1267,4.71,0
Tara Hills,37.99353,-122.31636,5126,4.69,0
Bayview,38.00702,-122.31878,1754,4.67,0
Mountain View,38.00881,-122.11746,2372,4.66,0
Cotati,38.32686,-122.70721,7265,4.64,0
Petaluma,38.23242,-122.63665,57941,4.63,0
Rohnert Park,38.33964,-122.7011,40971,4.63,0
Vine Hill,38.00853,-122.09608,3761,4.57,0
Montalvin,37.99548,-122.33275,2876,4.54,0
Angwin,38.57574,-122.44998,3051,4.48,0
Calistoga,38.5788,-122.57971,5155,4.46,0
El Sobrante,37.97715,-122.29525,12669,4.46,0
Santa Rosa,38.44047,-122.71443,167815,4.4,0
Roseland,38.42213,-122.72804,6325,4.39,0
Vacaville,38.35658,-121.98774,92428,4.38,0
North Richmond,37.95881,-122.36747,3717,4.25,0
Pacheco,37.98353,-122.07524,3685,4.25,0
Allendale,38.44463,-121.94302,1506,4.23,0
Novato,38.10742,-122.5697,51904,4.23,0
Black Point-Green Point,38.11547,-122.51318,1306,4.23,0
Hartley,38.41713,-121.94691,2510,4.19,0
Rollingwood,37.9652,-122.32997,2969,4.19,0
Larkfield-Wikiup,38.51342,-122.75094,8884,4.17,0
San Pablo,37.96215,-122.34553,29139,4.15,0
Waldon,37.92631,-122.05552,5364,4.13,0
Winters,38.52491,-121.9708,6624,4.13,0
Middletown,38.7524,-122.61499,1323,4.12,0
Richmond,37.93576,-122.34775,103701,4.12,0
Concord,37.97798,-122.03107,122067,4.11,0
East Richmond Heights,37.94492,-122.31358,3280,4.1,0
Sebastopol,38.40214,-122.82388,7379,4.09,0
Pleasant Hill,37.94798,-122.0608,33152,4.08,0
Dixon,38.44546,-121.8233,18351,4.04,0
Foster City,37.55855,-122.27108,30567,4.03,0
Healdsburg,38.61047,-122.86916,11254,4.02,0
Burlingame,37.5841,-122.36608,28806,3.97,0
Windsor,38.54713,-122.81638,26801,3.96,0
San Bruno,37.63049,-122.41108,41114,3.94,0
Rio Vista,38.15575,-121.69134,7360,3.93,0
San Rafael,37.97353,-122.53109,57713,3.93,0
Cottonwood,38.65824,-121.97108,3850,3.91,0
Lagunitas-Forest Knolls,38.01793,-122.69124,1819,3.89,0
Millbrae,37.59855,-122.38719,21532,3.88,0
Esparto,38.69213,-122.01719,3108,3.86,0
Brisbane,37.68077,-122.39997,4282,3.85,0
Bay Point,38.02909,-121.96163,21534,3.84,0
Bay Point,38.02676,-121.94194,21349,3.84,0
Redwood Shores,37.53188,-122.24802,10500,3.84,0
Saranap,37.88492,-122.07607,5202,3.84,0
Lucas Valley-Marinwood,38.04011,-122.5755,6094,3.84,0
Walnut Creek,37.90631,-122.06496,64173,3.83,0
Albany,37.88687,-122.29775,18539,3.82,0
Kensington,37.91048,-122.28025,5077,3.82,0
Pittsburg,38.02798,-121.88468,63264,3.81,0
Lafayette,37.88576,-122.11802,23893,3.8,0
Ross,37.96242,-122.55498,2415,3.8,0
Cobb,38.82213,-122.72305,1778,3.79,0
Davis,38.54491,-121.74052,65622,3.79,0
Graton,38.4363,-122.86972,1707,3.79,0
Kentfield,37.95215,-122.5572,6485,3.79,0
Santa Venetia,37.99853,-122.52525,4292,3.79,0
