# Columns: Station Code, latitude, longitude, regression dist (km), intensity, network code, Channel 1 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g), Channel 2 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g), Channel 3 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g)
AZ.BZN,33.4915,-116.667,731.39,1.0, AZ, --.HHE,0.002,0.0009,0.0032,0.0017,0.0009, --.HHN,0.0013,0.001,0.0049,0.002,0.0007, --.HHZ,0.0016,0.0015,0.0057,0.0035,0.0008
AZ.CRY,33.5654,-116.7373,720.94,1.0, AZ, --.HHE,0.0013,0.0004,0.0008,0.0014,0.0008, --.HHN,0.0008,0.0004,0.0011,0.0011,0.0004, --.HHZ,0.0011,0.0006,0.0016,0.0019,0.0007
AZ.FRD,33.4947,-116.6022,735.22,1.0, AZ, --.HHE,0.0012,0.0004,0.0005,0.001,0.0006, --.HHN,0.001,0.0004,0.0006,0.0013,0.0006, --.HHZ,0.0011,0.0005,0.001,0.0019,0.0006
AZ.KNW,33.7141,-116.7119,710.52,1.0, AZ, --.HHE,0.011,0.0011,0.0011,0.0015,0.0025, --.HHN,0.0075,0.0009,0.0011,0.0015,0.0026, --.HHZ,0.0086,0.001,0.001,0.0018,0.0019
AZ.PFO,33.6117,-116.4594,734.96,1.0, AZ, --.HHE,0.0058,0.0007,0.0007,0.0013,0.0016, --.HHN,0.0062,0.0009,0.0009,0.0014,0.0011, --.HHZ,0.0042,0.0006,0.0009,0.0015,0.001
AZ.RDM,33.63,-116.8478,708.72,1.0, AZ, --.HHE,0.0039,0.0006,0.001,0.0015,0.0012, --.HHN,0.0072,0.0007,0.0009,0.0015,0.0015, --.HHZ,0.0037,0.0004,0.0011,0.001,0.0007
AZ.SMER,33.4577,-117.1708,703.35,1.0, AZ, --.HHE,0.0008,0.0003,0.0006,0.0008,0.0004, --.HHN,0.0012,0.0004,0.0008,0.0007,0.0003, --.HHZ,0.001,0.0003,0.0006,0.0008,0.0003
AZ.SND,33.5519,-116.6129,729.9,1.0, AZ, --.HHE,0.0021,0.0007,0.0013,0.0029,0.0015, --.HHN,0.0012,0.0005,0.001,0.0022,0.001, --.HHZ,0.0015,0.0008,0.0012,0.0037,0.001
AZ.WMC,33.5736,-116.6747,724.22,1.0, AZ, --.HHE,0.0015,0.0009,0.0025,0.0016,0.0013, --.HHN,0.0014,0.001,0.0021,0.0022,0.0007, --.HHZ,0.0012,0.0009,0.0023,0.0023,0.001
BK.CMB,38.03455,-120.38651,170.19,1.0, BK, 00.HHE,0.077,0.0519,0.1102,0.0746,0.0138, 00.HHN,0.07,0.0474,0.1347,0.0658,0.0204, 00.HHZ,0.0813,0.0398,0.0984,0.0523,0.0186
BK.GASB,39.65471,-122.71595,152.96,1.0, BK, 00.HNE,0.5542,0.0633,0.0707,0.142,0.1641, 00.HNN,0.2378,0.0585,0.0645,0.1367,0.0942, 00.HNZ,0.1781,0.0336,0.0345,0.0841,0.1076
BK.HAST,36.3887,-121.5514,214.19,1.0, BK, 00.HNE,0.0977,0.0591,0.1303,0.1644,0.0199, 00.HNN,0.1144,0.0598,0.1372,0.1764,0.0218, 00.HNZ,0.0516,0.0355,0.1198,0.0755,0.0153
BK.HATC,40.8161,-121.46117,288.22,1.0, BK, 00.HNE,0.1754,0.0523,0.0555,0.0978,0.098, 00.HNN,0.0934,0.0313,0.0325,0.0787,0.0744, 00.HNZ,0.0997,0.0392,0.0408,0.0765,0.0455
BK.HELL,36.68011,-119.02282,337.59,1.0, BK, 00.HHE,0.0253,0.0095,0.0166,0.0206,0.0069, 00.HHN,0.0307,0.0123,0.0238,0.0258,0.0066, 00.HHZ,0.0229,0.0087,0.0143,0.0177,0.0056
BK.HUMO,42.6071,-122.95669,480.22,1.0, BK, 00.HHE,0.0441,0.0035,0.0035,0.006,0.0076, 00.HHN,0.0136,0.0023,0.0024,0.0038,0.0087, 00.HHZ,0.0192,0.0021,0.0022,0.0042,0.0056
BK.JCC,40.81745,-124.02955,314.31,1.0, BK, 00.HNE,0.181,0.0259,0.0262,0.0342,0.0521, 00.HNN,0.1304,0.02,0.0201,0.0251,0.0836, 00.HNZ,0.1097,0.0154,0.0155,0.0183,0.0411
BK.MOD,41.90246,-120.30295,434.91,1.0, BK, 00.HHE,0.0391,0.0072,0.0078,0.0202,0.0154, 00.HHN,0.0295,0.0082,0.0087,0.0173,0.0121, 00.HHZ,0.025,0.0036,0.0039,0.0087,0.0089
BK.ORV,39.55451,-121.50036,155.91,1.0, BK, 00.HNE,0.1122,0.029,0.0864,0.0687,0.0407, 00.HNN,0.0981,0.023,0.0507,0.0389,0.0261, 00.HNZ,0.0691,0.0138,0.0251,0.0431,0.0164
BK.PKD,35.94517,-120.5416,297.57,1.0, BK, 00.HHE,0.0823,0.0132,0.0219,0.0285,0.0188, 00.HHN,0.0746,0.0128,0.0193,0.038,0.0188, 00.HHZ,0.0424,0.0068,0.0119,0.0153,0.0103
BK.RAMR,35.63597,-120.86984,314.29,1.0, BK, 00.HNE,0.0827,0.0314,0.0682,0.0714,0.0158, 00.HNN,0.1068,0.0383,0.0943,0.1161,0.0309, 00.HNZ,0.0527,0.0258,0.0361,0.1097,0.019
BK.SAO,36.76403,-121.44722,178.83,1.0, BK, 00.HNE,0.096,0.0444,0.073,0.1369,0.0383, 00.HNN,0.1338,0.0323,0.0564,0.1074,0.031, 00.HNZ,0.0734,0.0268,0.0626,0.07,0.024
BK.SCZ,36.598,-121.403,197.24,1.0, BK, 00.HHE,0.0513,0.0188,0.0341,0.0396,0.0114, 00.HHN,0.0937,0.024,0.0387,0.0332,0.0116, 00.HHZ,0.0277,0.0142,0.0383,0.0356,0.013
BK.TCHL,35.68812,-120.40092,328.57,1.0, BK, 00.HNE,0.0723,0.0341,0.0779,0.0818,0.0382, 00.HNN,0.0788,0.0303,0.0872,0.0701,0.0391, 00.HNZ,0.049,0.0142,0.0381,0.0377,0.0348
BK.THIS,35.72405,-120.22845,333.44,1.0, BK, 00.HHE,0.07,0.023,0.0351,0.0612,0.0285, 00.HHN,0.0833,0.0157,0.0336,0.0481,0.0212, 00.HHZ,0.0372,0.0075,0.0168,0.0285,0.0107
BK.TRAM,35.67691,-120.27093,335.76,1.0, BK, 00.HHE,0.0745,0.019,0.0375,0.0873,0.0339, 00.HHN,0.0934,0.0192,0.0247,0.0823,0.0417, 00.HHZ,0.032,0.0092,0.0166,0.027,0.0078
BK.TSCN,35.54398,-120.34806,344.79,1.0, BK, 00.HNE,0.0914,0.0239,0.0346,0.0588,0.0443, 00.HNN,0.0824,0.017,0.027,0.0598,0.0312, 00.HNZ,0.0265,0.0131,0.0258,0.0443,0.0152
BK.WDC,40.57988,-122.54113,252.7,1.0, BK, 00.HHE,0.0901,0.0157,0.0165,0.0307,0.0274, 00.HHN,0.0364,0.0123,0.0217,0.0287,0.0122, 00.HHZ,0.0683,0.0124,0.0137,0.0319,0.0159
BK.YBH,41.73204,-122.71039,381.43,1.0, BK, 00.HHE,0.0445,0.0048,0.0048,0.0099,0.0127, 00.HHN,0.0297,0.0039,0.004,0.0084,0.0115, 00.HHZ,0.0407,0.0048,0.005,0.009,0.009
CI.AGO,34.14647,-118.76699,553.14,1.0, CI, --.HNZ,0.0056,0.0075,0.0047,0.0029,0.0048, --.HNN,0.0043,0.0055,0.0043,0.003,0.0033, --.HNE,0.0027,0.0045,0.0035,0.0043,0.0008
CI.ALP,34.68708,-118.29946,532.03,1.0, CI, --.HHE,0.0083,0.0038,0.004,0.0091,0.0037, --.HHN,0.0087,0.0042,0.0052,0.0086,0.0026, --.HHZ,0.0047,0.004,0.0097,0.0063,0.0025
CI.ARV,35.1269,-118.83009,463.37,1.0, CI, --.HHE,0.0068,0.0036,0.0065,0.0069,0.0038, --.HHN,0.0051,0.0033,0.009,0.0078,0.0025, --.HHZ,0.0055,0.0042,0.0086,0.0081,0.0018
CI.BAI,34.77695,-118.77335,496.47,1.0, CI, --.HNZ,0.0029,0.0015,0.0029,0.0047,0.001, --.HNN,0.0032,0.0016,0.003,0.0037,0.0014, --.HNE,0.0034,0.0014,0.003,0.0042,0.0009
CI.BAK,35.34444,-119.10445,428.76,1.0, CI, --.HHE,0.0084,0.0038,0.0101,0.0081,0.0055, --.HHN,0.0093,0.0042,0.0081,0.0065,0.0056, --.HHZ,0.011,0.0061,0.016,0.0084,0.0051
CI.BBR,34.2623,-116.92075,653.86,1.0, CI, --.HHE,0.004,0.002,0.0035,0.004,0.0018, --.HHN,0.0035,0.0021,0.0028,0.0064,0.0015, --.HHZ,0.0023,0.0018,0.0047,0.0052,0.001
CI.BCW,34.94009,-119.41313,447,1.0, CI, --.HHE,0.038,0.0081,0.0112,0.0249,0.0096, --.HHN,0.0298,0.0066,0.011,0.0179,0.0126, --.HHZ,0.0166,0.0039,0.0057,0.0119,0.0068
CI.BFS,34.23883,-117.65853,608.33,1.0, CI, --.HHE,0.0018,0.001,0.0019,0.0019,0.0011, --.HHN,0.0018,0.0014,0.0023,0.0015,0.0008, --.HHZ,0.0024,0.001,0.0019,0.0043,0.0008
CI.BHP,33.99053,-118.36171,588.81,1.0, CI, --.HHE,0.0061,0.0052,0.0058,0.0048,0.0037, --.HHN,0.0085,0.0051,0.0047,0.0055,0.0069, --.HHZ,0.0063,0.0035,0.0047,0.0067,0.004
CI.BLA2,34.06931,-116.38993,704.21,1.0, CI, --.HHE,0.0014,0.001,0.0021,0.0015,0.001, --.HHN,0.0016,0.0009,0.002,0.0013,0.0006, --.HHZ,0.0015,0.0014,0.0029,0.0025,0.0008
CI.BRE,33.80776,-117.98116,626.09,1.0, CI, --.HHE,0.0045,0.0025,0.0027,0.0056,0.0013, --.HHN,0.0044,0.0032,0.0034,0.0037,0.0018, --.HHZ,0.0051,0.0024,0.0034,0.0025,0.003
CI.BTP,34.68224,-118.57398,516.13,1.0, CI, --.HHE,0.0048,0.0042,0.0121,0.0102,0.0014, --.HHN,0.0055,0.0048,0.0113,0.0096,0.002, --.HHZ,0.0053,0.0034,0.0056,0.0129,0.002
CI.BUE,34.61299,-120.19679,442.97,1.0, CI, --.HNZ,0.0133,0.0062,0.0083,0.0198,0.0133, --.HNN,0.0115,0.0079,0.013,0.0159,0.0073, --.HNE,0.012,0.0071,0.0108,0.0186,0.0056
CI.CAC,34.13678,-118.12199,589.31,1.0, CI, --.HNZ,0.0058,0.0077,0.0111,0.0092,0.0012, --.HNN,0.0045,0.0058,0.0034,0.0055,0.0023, --.HNE,0.0056,0.0034,0.005,0.0064,0.0015
CI.CAR,35.30819,-119.84583,391.07,1.0, CI, --.HHE,0.0248,0.0088,0.012,0.0192,0.0083, --.HHN,0.0208,0.0067,0.0104,0.0152,0.0084, --.HHZ,0.008,0.0044,0.0096,0.0124,0.0031
CI.CCA,35.15252,-118.01649,513.08,1.0, CI, --.HHE,0.0113,0.0053,0.007,0.0136,0.004, --.HHN,0.009,0.0044,0.0067,0.008,0.0033, --.HHZ,0.007,0.0044,0.0099,0.0111,0.0031
CI.CCC,35.52495,-117.36453,532.94,1.0, CI, --.HHE,0.0036,0.0048,0.0038,0.0037,0.0016, --.HHN,0.0059,0.0054,0.0045,0.0092,0.0024, --.HHZ,0.0064,0.0032,0.0044,0.005,0.0026
CI.CFD,34.39927,-119.51576,492.76,1.0, CI, --.HNZ,0.0077,0.0051,0.0053,0.0098,0.0036, --.HNN,0.012,0.0065,0.0071,0.0101,0.0047, --.HNE,0.0117,0.0051,0.0064,0.013,0.0036
CI.CGO,36.5504,-117.80295,440.28,1.0, CI, --.HHE,0.0332,0.0172,0.0285,0.031,0.0084, --.HHN,0.0222,0.0139,0.0334,0.0204,0.004, --.HHZ,0.0103,0.0055,0.0093,0.0113,0.0028
CI.CHF,34.33341,-118.02585,578.12,1.0, CI, --.HHE,0.0018,0.0008,0.0014,0.0016,0.0011, --.HHN,0.0021,0.0008,0.0012,0.0017,0.0012, --.HHZ,0.0019,0.0007,0.0015,0.0026,0.0008
CI.CHI,34.18156,-119.22244,527.25,1.0, CI, --.HNZ,0.0081,0.0095,0.0041,0.0064,0.0061, --.HNN,0.0078,0.0054,0.0059,0.0134,0.005, --.HNE,0.0073,0.008,0.0059,0.0102,0.0036
CI.CJM,34.27117,-117.42448,620.37,1.0, CI, --.HHE,0.0037,0.0018,0.0033,0.0036,0.0013, --.HHN,0.0037,0.0021,0.0068,0.0031,0.0017, --.HHZ,0.0027,0.0014,0.0033,0.0024,0.0011
CI.CJV2,34.52978,-118.1445,554.51,1.0, CI, --.HHE,0.0032,0.0022,0.0037,0.0031,0.0012, --.HHN,0.0028,0.0039,0.0038,0.0042,0.0011, --.HHZ,0.0031,0.0025,0.0022,0.0037,0.0017
CI.CLC,35.81574,-117.59751,497.22,1.0, CI, --.HHE,0.0027,0.0008,0.0011,0.0017,0.0012, --.HHN,0.0023,0.0009,0.0015,0.003,0.0007, --.HHZ,0.0029,0.0011,0.0016,0.0036,0.0011
CI.CLO,34.22038,-119.00891,533.99,1.0, CI, --.HNZ,0.0073,0.0036,0.0049,0.0073,0.0069, --.HNN,0.0123,0.0062,0.007,0.0176,0.0073, --.HNE,0.0099,0.0048,0.0059,0.0085,0.0073
CI.CRG,35.2422,-119.72486,403.28,1.0, CI, --.HHE,0.0174,0.01,0.0244,0.0198,0.0057, --.HHN,0.0108,0.0106,0.0237,0.0142,0.0045, --.HHZ,0.0094,0.0056,0.0108,0.0097,0.0063
CI.CVW,34.92217,-118.93913,474.42,1.0, CI, --.HNZ,0.0437,0.0056,0.0088,0.0226,0.0046, --.HNN,0.0091,0.006,0.0102,0.0135,0.0055, --.HNE,0.0115,0.0071,0.0102,0.0244,0.0027
CI.CWC,36.43988,-118.08016,423.96,1.0, CI, --.HHE,0.0087,0.0045,0.0137,0.0113,0.003, --.HHN,0.0069,0.0053,0.0108,0.0108,0.0021, --.HHZ,0.0066,0.0048,0.0094,0.0102,0.0027
CI.DEC,34.25353,-118.33383,567.05,1.0, CI, --.HHE,0.0036,0.0018,0.0033,0.0042,0.0021, --.HHN,0.0046,0.0018,0.0044,0.0053,0.002, --.HHZ,0.0036,0.0014,0.0025,0.0059,0.0028
CI.DJJ,34.10618,-118.45505,573.37,1.0, CI, --.HHE,0.0027,0.001,0.0021,0.0013,0.0026, --.HHN,0.0054,0.0013,0.002,0.003,0.005, --.HHZ,0.0041,0.0011,0.0023,0.0021,0.0037
CI.DSC,35.14255,-116.10395,651.45,1.0, CI, --.HHE,0.0021,0.0015,0.0007,0.0012,0.0006, --.HHN,0.0016,0.0012,0.0006,0.0016,0.0005, --.HHZ,0.0015,0.0028,0.0008,0.0015,0.0005
CI.EDW2,34.8811,-117.99388,535.46,1.0, CI, --.HHE,0.0043,0.0016,0.0026,0.0036,0.002, --.HHN,0.0041,0.0012,0.0024,0.003,0.0023, --.HHZ,0.0033,0.0016,0.0029,0.0036,0.0014
CI.ELS2,33.64907,-117.42604,671.88,1.0, CI, --.HHE,0.0014,0.0005,0.0011,0.0015,0.0009, --.HHN,0.0012,0.0005,0.0007,0.0014,0.0007, --.HHZ,0.0014,0.0004,0.0007,0.0014,0.0008
CI.EOC,34.45029,-119.76941,476.55,1.0, CI, --.HNZ,0.0073,0.0034,0.0052,0.0089,0.0051, --.HNN,0.0072,0.0049,0.009,0.0129,0.004, --.HNE,0.0093,0.0063,0.0088,0.0196,0.0032
CI.FHO,34.09355,-116.93588,665.95,1.0, CI, --.HHE,0.0022,0.002,0.0081,0.0038,0.0007, --.HHN,0.0022,0.002,0.0055,0.0042,0.0007, --.HHZ,0.002,0.0015,0.0055,0.0029,0.0005
CI.FIG,34.72832,-119.98803,439.92,1.0, CI, --.HHE,0.0081,0.0032,0.005,0.0196,0.0035, --.HHN,0.0084,0.0057,0.0092,0.0192,0.0031, --.HHZ,0.0081,0.0029,0.0046,0.0105,0.0054
CI.FMO,34.4092,-118.92121,521.08,1.0, CI, --.HNZ,0.0118,0.0042,0.006,0.0091,0.0098, --.HNN,0.012,0.0036,0.0047,0.0083,0.0069, --.HNE,0.0039,0.0022,0.0045,0.0041,0.0013
CI.FMP,33.71264,-118.29381,617.57,1.0, CI, --.HHE,0.0239,0.0021,0.002,0.0061,0.0041, --.HHN,0.0153,0.0015,0.0022,0.0066,0.0025, --.HHZ,0.005,0.0009,0.0014,0.0022,0.0021
CI.FRM,34.77518,-118.96935,485.61,1.0, CI, --.HNZ,0.0041,0.0027,0.0026,0.004,0.0029, --.HNN,0.0064,0.002,0.0043,0.0054,0.0021, --.HNE,0.0036,0.002,0.0027,0.0033,0.0016
CI.FUR,36.46719,-116.86322,520.56,1.0, CI, --.HHE,0.0088,0.0045,0.0048,0.0147,0.0036, --.HHN,0.0069,0.0058,0.0038,0.0105,0.0024, --.HHZ,0.0062,0.0084,0.0035,0.008,0.003
CI.GATR,34.55266,-120.50235,438.17,1.0, CI, --.HHE,0.0194,0.0146,0.0218,0.0265,0.009, --.HHN,0.0112,0.0068,0.0162,0.02,0.0035, --.HHZ,0.0076,0.0042,0.0096,0.0121,0.0024
CI.GMR,34.78457,-115.65994,707.27,1.0, CI, --.HHE,0.0013,0.0003,0.0005,0.0007,0.0006, --.HHN,0.0007,0.0002,0.0003,0.0005,0.0003, --.HHZ,0.0011,0.0003,0.0004,0.0005,0.0003
CI.GOR,33.1537,-117.22921,726.2,1.0, CI, --.HHE,0.0009,0.0003,0.0003,0.0004,0.0005, --.HHN,0.0011,0.0003,0.0007,0.0007,0.0005, --.HHZ,0.0009,0.0004,0.0005,0.0008,0.0006
CI.GOU,34.22119,-118.18834,578.17,1.0, CI, --.HNZ,0.0039,0.0023,0.0044,0.0041,0.0019, --.HNN,0.0029,0.0016,0.0042,0.0027,0.0018, --.HNE,0.003,0.0024,0.0068,0.0028,0.0013
CI.GR2,34.11816,-118.30024,580.83,1.0, CI, --.HHE,0.0027,0.0023,0.0037,0.0044,0.0015, --.HHN,0.0035,0.0025,0.0031,0.0058,0.0025, --.HHZ,0.0039,0.0021,0.005,0.0022,0.0026
CI.GRA,36.99608,-117.36621,457.41,1.0, CI, --.HHE,0.0234,0.0085,0.0138,0.0245,0.0087, --.HHN,0.022,0.0088,0.015,0.0168,0.0067, --.HHZ,0.0214,0.0081,0.0106,0.0168,0.0055
CI.GSC,35.30177,-116.80574,588.67,1.0, CI, --.HHE,0.0175,0.0029,0.0035,0.0088,0.0074, --.HHN,0.0176,0.0033,0.0033,0.007,0.0053, --.HHZ,0.0087,0.0015,0.0031,0.0056,0.0027
